brand,model,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
Cadillac,Eldorado,8,350.0,125.0,3900.0,17.4,79,USA,23.0
Cadillac,Seville,8,350.0,180.0,4380.0,12.1,76,USA,16.5
Capri,Ii,4,140.0,92.0,2572.0,14.9,76,USA,25.0
Chevrolet,Vega 2300,4,140.0,90.0,2264.0,15.5,71,USA,28.0
Chevrolet,Caprice classic,8,305.0,130.0,3840.0,15.4,79,USA,17.0
Chevrolet,Chevelle malibu classic,8,305.0,140.0,4215.0,13.0,76,USA,17.5
Chevrolet,Chevelle malibu,6,250.0,100.0,3329.0,15.5,71,USA,17.0
Chevrolet,Chevette,4,98.0,68.0,2155.0,16.5,78,USA,30.0
Chevrolet,Malibu classic (sw),8,267.0,125.0,3605.0,15.0,79,USA,19.2
Chevrolet,Monte carlo landau,8,305.0,145.0,3425.0,13.2,78,USA,19.2
Chevrolet,Vega (sw),4,140.0,72.0,2408.0,19.0,71,USA,22.0
Chevrolet,Malibu,6,200.0,95.0,3155.0,18.2,78,USA,20.5
Chevrolet,Chevette,4,98.0,63.0,2051.0,17.0,77,USA,30.5
Chevrolet,Impala,8,350.0,165.0,4274.0,12.0,72,USA,13.0
Chevrolet,Concours,6,250.0,110.0,3520.0,16.4,77,USA,17.5
Chevrolet,Caprice classic,8,305.0,145.0,3880.0,12.5,77,USA,17.5
Chevrolet,Woody,4,98.0,60.0,2164.0,22.1,76,USA,24.5
Chevrolet,Vega,4,140.0,90.0,2408.0,19.5,72,USA,20.0
Chevrolet,Impala,8,350.0,165.0,4209.0,12.0,71,USA,14.0
Chevrolet,Impala,8,400.0,150.0,4997.0,14.0,73,USA,11.0
Chevrolet,C10,8,350.0,145.0,4055.0,12.0,76,USA,13.0
Chevrolet,S-10,4,119.0,82.0,2720.0,19.4,82,USA,31.0
Chevrolet,C20,8,307.0,200.0,4376.0,15.0,70,USA,10.0
Chevrolet,Citation,6,173.0,115.0,2595.0,11.3,79,USA,28.8
Chevrolet,Monte carlo landau,8,350.0,170.0,4165.0,11.4,77,USA,15.5
Chevrolet,Chevette,4,98.0,70.0,2120.0,15.5,80,USA,32.1
Chevrolet,Chevette,4,85.0,52.0,2035.0,22.2,76,USA,29.0
Chevrolet,Monte carlo,8,400.0,150.0,3761.0,9.5,70,USA,15.0
Chevrolet,Chevelle malibu,6,250.0,105.0,3897.0,18.5,75,USA,16.0
Chevrolet,Vega,4,140.0,72.0,2401.0,19.5,73,USA,21.0
Chevrolet,Nova custom,6,250.0,100.0,3278.0,18.0,73,USA,16.0
Chevrolet,Monza 2+2,8,262.0,110.0,3221.0,13.5,75,USA,20.0
Chevrolet,Monte carlo s,8,350.0,145.0,4082.0,13.0,73,USA,15.0
Chevrolet,Nova,6,250.0,105.0,3459.0,16.0,75,USA,18.0
Chevrolet,Citation,4,151.0,90.0,2678.0,16.5,80,USA,28.0
Chevrolet,Caprice classic,8,400.0,150.0,4464.0,12.0,73,USA,13.0
Chevrolet,Nova,6,250.0,100.0,3336.0,17.0,74,USA,15.0
Chevrolet,Vega,4,140.0,75.0,2542.0,17.0,74,USA,25.0
Chevrolet,Chevelle malibu classic,6,250.0,100.0,3781.0,17.0,74,USA,16.0
Chevrolet,Chevelle concours (sw),8,307.0,130.0,4098.0,14.0,72,USA,13.0
Chevrolet,Bel air,8,350.0,145.0,4440.0,14.0,75,USA,15.0
Chevrolet,Chevelle malibu,8,307.0,130.0,3504.0,12.0,70,USA,18.0
Chevrolet,Nova,6,250.0,105.0,3353.0,14.5,76,USA,22.0
Chevrolet,Camaro,4,151.0,90.0,2950.0,17.3,82,USA,27.0
Chevrolet,Cavalier 2-door,4,112.0,88.0,2395.0,18.0,82,USA,34.0
Chevrolet,Impala,8,454.0,220.0,4354.0,9.0,70,USA,14.0
Chevrolet,Cavalier wagon,4,112.0,88.0,2640.0,18.6,82,USA,27.0
Chevrolet,Cavalier,4,112.0,88.0,2605.0,19.6,82,USA,28.0
Chevrolet,Citation,6,173.0,110.0,2725.0,12.6,81,USA,23.5
Chevrolet,Malibu,8,350.0,145.0,3988.0,13.0,73,USA,13.0
Chrysler,Lebaron salon,6,225.0,85.0,3465.0,16.6,81,USA,17.6
Chrysler,Lebaron town @ country (sw),8,360.0,150.0,3940.0,13.0,79,USA,18.5
Chrysler,Newport royal,8,400.0,190.0,4422.0,12.5,72,USA,13.0
Chrysler,New yorker brougham,8,440.0,215.0,4735.0,11.0,73,USA,13.0
Chrysler,Lebaron medallion,4,156.0,92.0,2585.0,14.5,82,USA,26.0
Chrysler,Cordoba,8,400.0,190.0,4325.0,12.2,77,USA,15.5
Datsun,B210 gx,4,85.0,70.0,2070.0,18.6,78,Asia,39.4
Datsun,Pl510,4,97.0,88.0,2130.0,14.5,70,Asia,27.0
Datsun,810 maxima,6,146.0,120.0,2930.0,13.8,81,Asia,24.2
Datsun,710,4,119.0,97.0,2545.0,17.0,75,Asia,24.0
Datsun,710,4,83.0,61.0,2003.0,19.0,74,Asia,32.0
Datsun,200sx,4,119.0,100.0,2615.0,14.8,81,Asia,32.9
Datsun,610,4,108.0,94.0,2379.0,16.5,73,Asia,22.0
Datsun,210,4,85.0,65.0,2110.0,19.2,80,Asia,40.8
Datsun,310,4,86.0,65.0,2019.0,16.4,80,Asia,37.2
Datsun,Pl510,4,97.0,88.0,2130.0,14.5,71,Asia,27.0
Datsun,280-zx,6,168.0,132.0,2910.0,11.4,80,Asia,32.7
Datsun,1200,4,72.0,69.0,1613.0,18.0,71,Asia,35.0
Datsun,B-210,4,85.0,70.0,1990.0,17.0,76,Asia,32.0
Datsun,210 mpg,4,85.0,65.0,1975.0,19.4,81,Asia,37.0
Datsun,310 gx,4,91.0,67.0,1995.0,16.2,82,Asia,38.0
Datsun,F-10 hatchback,4,85.0,70.0,1945.0,16.8,77,Asia,33.5
Datsun,510 hatchback,4,119.0,92.0,2434.0,15.0,80,Asia,37.0
Datsun,B210,4,79.0,67.0,1950.0,19.0,74,Asia,31.0
Datsun,510 (sw),4,97.0,92.0,2288.0,17.0,72,Asia,28.0
Datsun,510,4,119.0,97.0,2300.0,14.7,78,Asia,27.2
Datsun,810,6,146.0,97.0,2815.0,14.5,77,Asia,22.0
Datsun,200-sx,4,119.0,97.0,2405.0,14.9,78,Asia,23.9
Datsun,210,4,85.0,65.0,2020.0,19.2,79,Asia,31.8
Dodge,D200,8,318.0,210.0,4382.0,13.5,70,USA,11.0
Dodge,Colt,4,156.0,105.0,2800.0,14.4,80,USA,27.9
Dodge,Coronet custom,8,318.0,150.0,3777.0,12.5,73,USA,15.0
Dodge,Aries wagon (sw),4,156.0,92.0,2620.0,14.4,81,USA,25.8
Dodge,Dart custom,8,318.0,150.0,3399.0,11.0,73,USA,15.0
Dodge,Colt (sw),4,98.0,80.0,2164.0,15.0,72,USA,28.0
Dodge,Rampage,4,135.0,84.0,2295.0,11.6,82,USA,32.0
Dodge,St. regis,8,318.0,135.0,3830.0,15.2,79,USA,18.2
Dodge,Monaco brougham,8,318.0,145.0,4140.0,13.7,77,USA,15.5
Dodge,Omni,4,105.0,75.0,2230.0,14.5,78,USA,30.9
Dodge,D100,8,318.0,150.0,3755.0,14.0,76,USA,13.0
Dodge,Aspen 6,6,225.0,110.0,3360.0,16.6,79,USA,20.6
Dodge,Coronet custom (sw),8,318.0,150.0,4457.0,13.5,74,USA,14.0
Dodge,Colt hatchback custom,4,98.0,80.0,1915.0,14.4,79,USA,35.7
Dodge,Diplomat,8,318.0,140.0,3735.0,13.2,78,USA,19.4
Dodge,Magnum xe,8,318.0,140.0,4080.0,13.7,78,USA,17.5
Dodge,Charger 2.2,4,135.0,84.0,2370.0,13.0,82,USA,36.0
Dodge,Colt hardtop,4,97.5,80.0,2126.0,17.0,72,USA,25.0
Dodge,Aries se,4,135.0,84.0,2525.0,16.0,82,USA,29.0
Dodge,Challenger se,8,383.0,170.0,3563.0,10.0,70,USA,15.0
Dodge,Aspen se,6,225.0,100.0,3651.0,17.7,76,USA,20.0
Dodge,Aspen,6,225.0,110.0,3620.0,18.7,78,USA,18.6
Dodge,Coronet brougham,8,318.0,150.0,4190.0,13.0,76,USA,16.0
Dodge,Colt,4,90.0,75.0,2125.0,14.5,74,USA,28.0
Dodge,Colt,4,98.0,79.0,2255.0,17.7,76,USA,26.0
Dodge,Colt m/m,4,98.0,83.0,2075.0,15.9,77,USA,33.5
Dodge,Aspen,6,225.0,90.0,3381.0,18.7,80,USA,19.1
Dodge,Monaco (sw),8,383.0,180.0,4955.0,11.5,71,USA,12.0
Fiat,Strada custom,4,91.0,69.0,2130.0,14.7,79,Europe,37.3
Fiat,124 tc,4,116.0,75.0,2246.0,14.0,74,Europe,26.0
Fiat,X1.9,4,79.0,67.0,2000.0,16.0,74,Europe,31.0
Fiat,131,4,107.0,86.0,2464.0,15.5,76,Europe,28.0
Fiat,124b,4,88.0,76.0,2065.0,14.5,71,Europe,30.0
Fiat,128,4,68.0,49.0,1867.0,19.5,73,Europe,29.0
Fiat,124 sport coupe,4,98.0,90.0,2265.0,15.5,73,Europe,26.0
Fiat,128,4,90.0,75.0,2108.0,15.5,74,Europe,24.0
Ford,Fairmont (auto),6,200.0,85.0,2965.0,15.8,78,USA,20.2
Ford,Torino 500,6,250.0,88.0,3302.0,15.5,71,USA,19.0
Ford,Gran torino (sw),8,302.0,140.0,4638.0,16.0,74,USA,14.0
Ford,Futura,8,302.0,139.0,3205.0,11.2,78,USA,18.1
Ford,Galaxie 500,8,351.0,153.0,4154.0,13.5,71,USA,14.0
Ford,Pinto (sw),4,122.0,86.0,2395.0,16.0,72,USA,22.0
Ford,Escort 2h,4,98.0,65.0,2380.0,20.7,81,USA,29.9
Ford,Fiesta,4,98.0,66.0,1800.0,14.4,78,USA,36.1
Ford,Pinto,6,171.0,97.0,2984.0,14.5,75,USA,18.0
Ford,Fairmont (man),4,140.0,88.0,2720.0,15.4,78,USA,25.1
Ford,Country squire (sw),8,400.0,170.0,4746.0,12.0,71,USA,13.0
Ford,Mustang,6,250.0,88.0,3139.0,14.5,71,USA,18.0
Ford,Mustang ii,8,302.0,129.0,3169.0,12.0,75,USA,13.0
Ford,F250,8,360.0,215.0,4615.0,14.0,70,USA,10.0
Ford,Granada gl,6,200.0,88.0,3060.0,17.1,81,USA,20.2
Ford,Ltd,8,351.0,148.0,4657.0,13.5,75,USA,14.0
Ford,Galaxie 500,8,429.0,198.0,4341.0,10.0,70,USA,15.0
Ford,Fairmont futura,4,140.0,92.0,2865.0,16.4,82,USA,24.0
Ford,Maverick,6,250.0,72.0,3158.0,19.5,75,USA,15.0
Ford,Gran torino (sw),8,302.0,140.0,4294.0,16.0,72,USA,13.0
Ford,Gran torino,8,302.0,137.0,4042.0,14.5,73,USA,14.0
Ford,Pinto,4,140.0,83.0,2639.0,17.0,75,USA,23.0
Ford,Pinto,4,122.0,80.0,2451.0,16.5,74,USA,26.0
Ford,Gran torino,8,302.0,140.0,4141.0,14.0,74,USA,16.0
Ford,Torino,8,302.0,140.0,3449.0,10.5,70,USA,17.0
Ford,Maverick,6,200.0,85.0,2587.0,16.0,70,USA,21.0
Ford,Gran torino,8,351.0,152.0,4215.0,12.8,76,USA,14.5
Ford,Pinto runabout,4,122.0,86.0,2226.0,16.5,72,USA,21.0
Ford,Pinto,4,140.0,72.0,2565.0,13.6,76,USA,26.5
Ford,Country squire (sw),8,351.0,142.0,4054.0,14.3,79,USA,15.5
Ford,Mustang ii 2+2,4,140.0,89.0,2755.0,15.8,77,USA,25.5
Ford,Galaxie 500,8,351.0,153.0,4129.0,13.0,72,USA,14.0
Ford,Thunderbird,8,351.0,149.0,4335.0,14.5,77,USA,16.0
Ford,Granada ghia,6,250.0,78.0,3574.0,21.0,76,USA,18.0
Ford,Escort 4w,4,98.0,65.0,2045.0,16.2,81,USA,34.4
Ford,Granada,6,250.0,98.0,3525.0,19.0,77,USA,18.5
Ford,F108,8,302.0,130.0,3870.0,15.0,76,USA,13.0
Ford,Ranger,4,120.0,79.0,2625.0,18.6,82,USA,28.0
Ford,Fairmont 4,4,140.0,88.0,2890.0,17.3,79,USA,22.3
Ford,Granada l,6,232.0,112.0,2835.0,14.7,82,USA,22.0
Ford,Maverick,6,200.0,81.0,3012.0,17.6,76,USA,24.0
Ford,Pinto,4,122.0,85.0,2310.0,18.5,73,USA,19.0
Ford,Ltd landau,8,302.0,129.0,3725.0,13.4,79,USA,17.6
Ford,Ltd,8,351.0,158.0,4363.0,13.0,73,USA,13.0
Ford,Maverick,6,250.0,88.0,3021.0,16.5,73,USA,18.0
Ford,Country,8,400.0,167.0,4906.0,12.5,73,USA,12.0
Ford,Fairmont,4,140.0,88.0,2870.0,18.1,80,USA,26.4
Ford,Mustang gl,4,140.0,86.0,2790.0,15.6,82,USA,27.0
Honda,Accord,4,107.0,72.0,2290.0,17.0,80,Asia,32.4
Honda,Civic 1300,4,81.0,60.0,1760.0,16.1,81,Asia,35.1
Honda,Civic (auto),4,91.0,67.0,1965.0,15.7,82,Asia,32.0
Honda,Accord cvcc,4,98.0,68.0,2045.0,18.5,77,Asia,31.5
Honda,Civic 1500 gl,4,91.0,67.0,1850.0,13.8,80,Asia,44.6
Honda,Accord lx,4,98.0,68.0,2135.0,16.6,78,Asia,29.5
Honda,Civic,4,91.0,67.0,1965.0,15.0,82,Asia,38.0
Honda,Civic cvcc,4,91.0,60.0,1800.0,16.4,78,Asia,36.1
Honda,Civic,4,120.0,97.0,2489.0,15.0,74,Asia,24.0
Honda,Prelude,4,107.0,75.0,2210.0,14.4,81,Asia,33.7
Honda,Civic cvcc,4,91.0,53.0,1795.0,17.5,75,Asia,33.0
Honda,Civic,4,91.0,53.0,1795.0,17.4,76,Asia,33.0
Honda,Accord,4,107.0,75.0,2205.0,14.5,82,Asia,36.0
International Harvester,1200d,8,304.0,193.0,4732.0,18.5,70,USA,9.0
Mazda,Glc 4,4,91.0,68.0,1985.0,16.0,81,Asia,34.1
Mazda,626,4,120.0,75.0,2542.0,17.5,80,Asia,31.3
Mazda,Rx-7 gs,3,70.0,100.0,2420.0,12.5,80,Asia,23.7
Mazda,Rx2 coupe,3,70.0,97.0,2330.0,13.5,72,Asia,19.0
Mazda,Glc deluxe,4,78.0,52.0,1985.0,19.4,78,Asia,32.8
Mazda,Glc custom,4,91.0,68.0,1970.0,17.6,82,Asia,31.0
Mazda,Glc custom l,4,91.0,68.0,2025.0,18.2,82,Asia,37.0
Mazda,Rx-4,3,80.0,110.0,2720.0,13.5,77,Asia,21.5
Mazda,Rx3,3,70.0,90.0,2124.0,13.5,73,Asia,18.0
Mazda,Glc deluxe,4,86.0,65.0,1975.0,15.2,79,Asia,34.1
Mazda,Glc,4,86.0,65.0,2110.0,17.9,80,Asia,46.6
Mazda,626,4,120.0,74.0,2635.0,18.3,81,Asia,31.6
Mercedes-Benz,240d,4,146.0,67.0,3250.0,21.8,80,Europe,30.0
Mercedes-Benz,Benz 300d,5,183.0,77.0,3530.0,20.1,79,Europe,25.4
Mercedes-Benz,280s,6,168.0,120.0,3820.0,16.7,76,Europe,16.5
Mercury,Monarch,6,250.0,72.0,3432.0,21.0,75,USA,15.0
Mercury,Cougar brougham,8,302.0,130.0,4295.0,14.9,77,USA,15.0
Mercury,Marquis brougham,8,429.0,198.0,4952.0,11.5,73,USA,12.0
Mercury,Lynx l,4,98.0,70.0,2125.0,17.3,82,USA,36.0
Mercury,Capri v6,6,155.0,107.0,2472.0,14.0,73,USA,21.0
Mercury,Zephyr,6,200.0,85.0,3070.0,16.7,78,USA,20.8
Mercury,Zephyr 6,6,200.0,85.0,2990.0,18.2,79,USA,19.8
Mercury,Marquis,8,429.0,208.0,4633.0,11.0,72,USA,11.0
Mercury,Monarch ghia,8,302.0,139.0,3570.0,12.8,78,USA,20.2
Mercury,Grand marquis,8,351.0,138.0,3955.0,13.2,79,USA,16.5
Mercury,Capri 2000,4,122.0,86.0,2220.0,14.0,71,USA,23.0
Nissan,Stanza xe,4,120.0,88.0,2160.0,14.5,82,Asia,36.0
Oldsmobile,Cutlass ciera (diesel),6,262.0,85.0,3015.0,17.0,82,USA,38.0
Oldsmobile,Cutlass ls,8,350.0,105.0,3725.0,19.0,81,USA,26.6
Oldsmobile,Cutlass supreme,8,260.0,110.0,4060.0,19.0,77,USA,17.0
Oldsmobile,Omega,8,350.0,180.0,3664.0,11.0,73,USA,11.0
Oldsmobile,Cutlass salon brougham,8,260.0,110.0,3365.0,15.5,78,USA,19.9
Oldsmobile,Vista cruiser,8,350.0,180.0,4499.0,12.5,73,USA,12.0
Oldsmobile,Delta 88 royale,8,350.0,160.0,4456.0,13.5,72,USA,12.0
Oldsmobile,Omega brougham,6,173.0,115.0,2700.0,12.9,79,USA,26.8
Oldsmobile,Cutlass salon brougham,8,260.0,90.0,3420.0,22.2,79,USA,23.9
Oldsmobile,Starfire sx,4,151.0,85.0,2855.0,17.6,78,USA,23.8
Opel,1900,4,116.0,90.0,2123.0,14.0,71,Europe,28.0
Opel,Manta,4,116.0,75.0,2158.0,15.5,73,Europe,24.0
Opel,Manta,4,97.0,78.0,2300.0,14.5,74,Europe,26.0
Opel,1900,4,116.0,81.0,2220.0,16.9,76,Europe,25.0
Peugeot,504,4,141.0,71.0,3190.0,24.8,79,Europe,27.2
Peugeot,504,4,120.0,88.0,2957.0,17.0,75,Europe,23.0
Peugeot,504,4,120.0,88.0,3270.0,21.9,76,Europe,19.0
Peugeot,304,4,79.0,70.0,2074.0,19.5,71,Europe,30.0
Peugeot,604sl,6,163.0,133.0,3410.0,15.8,78,Europe,16.2
Peugeot,504 (sw),4,120.0,87.0,2979.0,19.5,72,Europe,21.0
Peugeot,504,4,110.0,87.0,2672.0,17.5,70,Europe,25.0
Peugeot,505s turbo diesel,4,141.0,80.0,3230.0,20.4,81,Europe,28.1
Plymouth,Satellite sebring,6,225.0,105.0,3613.0,16.5,74,USA,18.0
Plymouth,Fury iii,8,318.0,150.0,4096.0,13.0,71,USA,14.0
Plymouth,Arrow gs,4,122.0,96.0,2300.0,15.5,77,USA,25.5
Plymouth,Volare custom,6,225.0,100.0,3630.0,17.7,77,USA,19.0
Plymouth,Valiant,6,225.0,100.0,3233.0,15.4,76,USA,22.0
Plymouth,Duster,6,198.0,95.0,3102.0,16.5,74,USA,20.0
Plymouth,Grand fury,8,318.0,150.0,4498.0,14.5,75,USA,16.0
Plymouth,Valiant custom,6,225.0,95.0,3264.0,16.0,75,USA,19.0
Plymouth,Sapporo,4,156.0,105.0,2745.0,16.7,78,USA,23.2
Plymouth,Satellite custom,6,225.0,105.0,3439.0,15.5,71,USA,16.0
Plymouth,Fury gran sedan,8,318.0,150.0,4237.0,14.5,73,USA,14.0
Plymouth,Volare,6,225.0,100.0,3430.0,17.2,78,USA,20.5
Plymouth,Fury iii,8,318.0,150.0,4135.0,13.5,72,USA,15.0
Plymouth,Custom suburb,8,360.0,170.0,4654.0,13.0,73,USA,13.0
Plymouth,Cricket,4,91.0,70.0,1955.0,20.5,71,USA,26.0
Plymouth,Valiant,6,225.0,105.0,3121.0,16.5,73,USA,18.0
Plymouth,Satellite custom (sw),8,318.0,150.0,4077.0,14.0,72,USA,14.0
Plymouth,Fury,6,225.0,95.0,3785.0,19.0,75,USA,18.0
Plymouth,Satellite,8,318.0,150.0,3436.0,11.0,70,USA,18.0
Plymouth,Horizon 4,4,105.0,63.0,2215.0,14.9,81,USA,34.7
Plymouth,Horizon tc3,4,105.0,70.0,2150.0,14.9,79,USA,34.5
Plymouth,Reliant,4,135.0,84.0,2490.0,15.7,81,USA,27.2
Plymouth,Fury iii,8,440.0,215.0,4312.0,8.5,70,USA,14.0
Plymouth,Horizon miser,4,105.0,63.0,2125.0,14.7,82,USA,38.0
Plymouth,Reliant,4,135.0,84.0,2385.0,12.9,81,USA,30.0
Plymouth,Champ,4,86.0,64.0,1875.0,16.4,81,USA,39.0
Plymouth,Horizon,4,105.0,70.0,2200.0,13.2,79,USA,34.2
Plymouth,Duster,6,198.0,95.0,2833.0,15.5,70,USA,22.0
Plymouth,Duster,6,198.0,95.0,2904.0,16.0,73,USA,23.0
Plymouth,Volare premier v8,8,318.0,150.0,3940.0,13.2,76,USA,13.0
Plymouth,'cuda 340,8,340.0,160.0,3609.0,8.0,70,USA,14.0
Pontiac,J2000 se hatchback,4,112.0,85.0,2575.0,16.2,82,USA,31.0
Pontiac,Catalina brougham,8,400.0,175.0,4464.0,11.5,71,USA,14.0
Pontiac,Sunbird coupe,4,151.0,88.0,2740.0,16.0,77,USA,24.5
Pontiac,Catalina,8,400.0,170.0,4668.0,11.5,75,USA,16.0
Pontiac,Phoenix,4,151.0,90.0,2556.0,13.2,79,USA,33.5
Pontiac,Phoenix,4,151.0,90.0,2735.0,18.0,82,USA,27.0
Pontiac,Safari (sw),8,400.0,175.0,5140.0,12.0,71,USA,13.0
Pontiac,Grand prix lj,8,400.0,180.0,4220.0,11.1,77,USA,16.0
Pontiac,Lemans v6,6,231.0,115.0,3245.0,15.4,79,USA,21.5
Pontiac,Firebird,6,250.0,100.0,3282.0,15.0,71,USA,19.0
Pontiac,Astro,4,140.0,78.0,2592.0,18.5,75,USA,23.0
Pontiac,Grand prix,8,400.0,230.0,4278.0,9.5,73,USA,16.0
Pontiac,Ventura sj,6,250.0,110.0,3645.0,16.2,76,USA,18.5
Pontiac,Catalina,8,400.0,175.0,4385.0,12.0,72,USA,14.0
Pontiac,Phoenix lj,6,231.0,105.0,3535.0,19.2,78,USA,19.2
Pontiac,Catalina,8,455.0,225.0,4425.0,10.0,70,USA,14.0
Renault,5 gtl,4,79.0,58.0,1825.0,18.6,77,Europe,36.0
Renault,12 (sw),4,96.0,69.0,2189.0,18.0,72,Europe,26.0
Renault,12tl,4,101.0,83.0,2202.0,15.3,76,Europe,27.0
Saab,99le,4,121.0,115.0,2671.0,13.5,75,Europe,25.0
Saab,99le,4,121.0,110.0,2660.0,14.0,73,Europe,24.0
Saab,99e,4,104.0,95.0,2375.0,17.5,70,Europe,25.0
Saab,99gle,4,121.0,115.0,2795.0,15.7,78,Europe,21.6
Subaru,,4,97.0,67.0,2065.0,17.8,81,Asia,32.3
Subaru,Dl,4,97.0,67.0,2145.0,18.0,80,Asia,33.8
Subaru,Dl,4,97.0,67.0,1985.0,16.4,77,Asia,30.0
Subaru,,4,108.0,93.0,2391.0,15.5,74,Asia,26.0
Toyota,Corolla tercel,4,89.0,60.0,1968.0,18.8,80,Asia,38.1
Toyota,Corolla,4,97.0,75.0,2155.0,16.4,76,Asia,28.0
Toyota,Starlet,4,79.0,58.0,1755.0,16.9,81,Asia,39.1
Toyota,Corona mark ii,4,113.0,95.0,2372.0,15.0,70,Asia,24.0
Toyota,Corolla 1200,4,71.0,65.0,1773.0,19.0,71,Asia,31.0
Toyota,Mark ii,6,156.0,108.0,2930.0,15.5,76,Asia,19.0
Toyota,Carina,4,97.0,88.0,2279.0,19.0,73,Asia,20.0
Toyota,Corona mark ii (sw),4,120.0,97.0,2506.0,14.5,72,Asia,23.0
Toyota,Tercel,4,89.0,62.0,2050.0,17.3,81,Asia,37.7
Toyota,Corolla,4,108.0,75.0,2265.0,15.2,80,Asia,32.2
Toyota,Corona liftback,4,134.0,90.0,2711.0,15.5,80,Asia,29.8
Toyota,Corolla liftback,4,97.0,75.0,2265.0,18.2,77,Asia,26.0
Toyota,Corona,4,134.0,95.0,2560.0,14.2,78,Asia,27.5
Toyota,Corolla 1200,4,71.0,65.0,1836.0,21.0,74,Asia,32.0
Toyota,Corona,4,113.0,95.0,2228.0,14.0,71,Asia,25.0
